Participant	Time_min	Age	Sex	Degree	Program	L1	AWEQ_GEN	AWEQ_COU	AWEQ_PUB	ResearchPurpose	Frame	Variant	Response	past_participle	Misspell_wrong_incomplete
3	15	42	Male	Doctoral	Emvironmental health	English	3.67	4	3.33	No	Is.that5	Adj-that	predicted	1	0
3	15	42	Male	Doctoral	Emvironmental health	English	3.67	4	3.33	No	Is.to1	Adj-to	reasonable	0	0
3	15	42	Male	Doctoral	Emvironmental health	English	3.67	4	3.33	No	Is.to2	Adj-to	expected	1	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that1	Adj-that	true	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that2	Adj-that	false	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that3	Adj-that	good	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that4	Adj-that	okay	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that5	Adj-that	fine	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that6	Adj-that	sad	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that7	Adj-that	happy	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that8	Adj-that	interesting	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that9	Adj-that	ridiculous	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that10	Adj-that	silly	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that11	Adj-that	awful	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that12	Adj-that	terrible	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that13	Adj-that	good	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Is.that14	Adj-that	bad	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to1	Adj-to	good	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to2	Adj-to	just	0	1
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to3	Adj-to	fair	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to4	Adj-to	bad	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to5	Adj-to	unfair	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to6	Adj-to	mean	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to7	Adj-to	kind	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to8	Adj-to	cruel	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to9	Adj-to	nice	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to10	Adj-to	greedy	0	0
4	13.083	25	Male	MS	Social Work	English	2.67	3.4	3.33	No	Seem.to11	Adj-to	generous	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.that1	Adj-that	likely	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.that2	Adj-that	probable	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.that3	Adj-that	unlikely 	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.that4	Adj-that	possible	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.that5	Adj-that	questionable 	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.to1	Adj-to	questionable 	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.to2	Adj-to	obvious 	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.to3	Adj-to	suggestive 	0	0
5	12.717	28	Female	Doctoral	Spanish Linguistics 	English	2.33	3.83	2.83	No	Seem.to4	Adj-to	possible	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Seem.that1	Adj-that	unfair	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Seem.that2	Adj-that	evident	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Seem.that3	Adj-that	important	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Seem.that4	Adj-that	natural	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Is.to1	Adj-to	simple	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Is.to2	Adj-to	expected	1	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Is.to3	Adj-to	unfair	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Is.to4	Adj-to	interesting	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Is.to5	Adj-to	difficult	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Is.to6	Adj-to	crucial	0	0
6	11.95	37	Male	MS	Finance	English	3.67	2.5	2.33	No	Is.to7	Adj-to	trivial	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.that1	Adj-that	useful	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.that2	Adj-that	helpful	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.that3	Adj-that	ridiculous	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.that4	Adj-that	obvious	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.that5	Adj-that	apparent	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.that6	Adj-that	funny	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.that7	Adj-that	sad	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.that8	Adj-that	crazy	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.to1	Adj-to	obvious	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.to2	Adj-to	ridiculous	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.to3	Adj-to	apparent	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.to4	Adj-to	crazy	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.to5	Adj-to	silly	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.to6	Adj-to	funny	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.to7	Adj-to	good	0	0
7	14.367	47	Female	Doctoral	nursing	English	3.17	4.17	3.83	Yes	Seem.to8	Adj-to	lively	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Seem.that1	Adj-that	obvious	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Seem.that2	Adj-that	practical	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Seem.that3	Adj-that	intuitive	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Seem.that4	Adj-that	logical	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Seem.that5	Adj-that	important	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Is.to1	Adj-to	important	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Is.to2	Adj-to	vital	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Is.to3	Adj-to	necessary	0	0
8	171.583	21	Male	MS	Human Biology	English	2	2	1.5	No	Is.to4	Adj-to	logical	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Seem.that1	Adj-that	suspicious	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Seem.that2	Adj-that	questionable 	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Seem.that3	Adj-that	intriguing 	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Seem.that4	Adj-that	humorous 	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Seem.that5	Adj-that	fortunate 	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Is.to1	Adj-to	superior 	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Is.to2	Adj-to	inferior	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Is.to3	Adj-to	good	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Is.to4	Adj-to	preferable 	0	0
9	11.967	56	Female	Doctoral	Dnp	English	3.2	3.6	3	No	Is.to5	Adj-to	innate 	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that1	Adj-that	likely	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that2	Adj-that	unlikely	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that3	Adj-that	improbable	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that4	Adj-that	probable	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that5	Adj-that	certain	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that6	Adj-that	conclusive	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that7	Adj-that	proven	1	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that8	Adj-that	unwelcome	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that9	Adj-that	evident	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that10	Adj-that	accepted	1	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that11	Adj-that	implied	1	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Is.that12	Adj-that	infer	0	1
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to1	Adj-to	absurd	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to2	Adj-to	unconventional	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to3	Adj-to	likely	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to4	Adj-to	obvious	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to5	Adj-to	unexpected	1	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to6	Adj-to	improbable	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to7	Adj-to	standard	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to8	Adj-to	prone	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to9	Adj-to	predisposed	1	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to10	Adj-to	dangerous	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to11	Adj-to	risky	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to12	Adj-to	implied	1	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to13	Adj-to	inevitable	0	0
10	10.5	26	Female	Doctoral	english	English	5	5	5	No	Seem.to14	Adj-to	undesirable	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.that1	Adj-that	prudent	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.that2	Adj-that	important	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.that3	Adj-that	critical	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.that4	Adj-that	apparent	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.that5	Adj-that	obvious	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.that6	Adj-that	clear	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.to1	Adj-to	important	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.to2	Adj-to	valuable	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.to3	Adj-to	critical	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.to4	Adj-to	worthwhile	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.to5	Adj-to	necessary	0	0
11	16.533	24	Female	Doctoral	neuroscience	English	2.67	3	3.25	No	Seem.to6	Adj-to	prudent	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Is.that1	Adj-that	imperative	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Is.that2	Adj-that	vital	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Is.that3	Adj-that	necessary	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Is.that4	Adj-that	prudent	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Is.that5	Adj-that	unfortunate	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Is.that6	Adj-that	unhelpful	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Is.that7	Adj-that	useful	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Is.that8	Adj-that	given	1	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Seem.to1	Adj-to	useful	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Seem.to2	Adj-to	important	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Seem.to3	Adj-to	vital	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Seem.to4	Adj-to	prudent	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Seem.to5	Adj-to	possible	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Seem.to6	Adj-to	impossible	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Seem.to7	Adj-to	inadvisable	0	0
12	12.767	26	Female	Doctoral	D.O. (medicine)	English	2.5	1.83	1	No	Seem.to8	Adj-to	advisable	0	0
13	67.5	36	Male	MS	International Policy	English	2	2	2	No	Seem.that1	Adj-that	likely	0	0
13	67.5	36	Male	MS	International Policy	English	2	2	2	No	Is.to1	Adj-to	adjacent 	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Seem.that1	Adj-that	unlikely	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Seem.that2	Adj-that	probable	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Seem.that3	Adj-that	mostly	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Seem.that4	Adj-that	improbable	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Seem.that5	Adj-that	unrealistic	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Is.to1	Adj-to	easy	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Is.to2	Adj-to	hard	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Is.to3	Adj-to	contrary	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Is.to4	Adj-to	obvious	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Is.to5	Adj-to	relative	0	0
14	15.55	60	Male	MS	Biophysics	English	3.2	3	1.8	Yes	Is.to6	Adj-to	fundamental	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that1	Adj-that	further 	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that2	Adj-that	likely	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that3	Adj-that	arguably 	0	1
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that4	Adj-that	necessary	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that5	Adj-that	unnecessary	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that6	Adj-that	optimistic	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that7	Adj-that	relative	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that8	Adj-that	normal	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that9	Adj-that	common	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Seem.that10	Adj-that	unlikely	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to1	Adj-to	unlikely	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to2	Adj-to	likely	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to3	Adj-to	optimistic	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to4	Adj-to	common	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to5	Adj-to	disappointing	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to6	Adj-to	relative	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to7	Adj-to	related	1	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to8	Adj-to	subjective	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to9	Adj-to	objective	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to10	Adj-to	necessary	0	0
15	13.15	30	Male	MS	sociolinguistics	English	4.5	3.4	4	Yes	Is.to11	Adj-to	unnecessary	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Seem.that1	Adj-that	prudent	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Seem.that2	Adj-that	good	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Seem.that3	Adj-that	right	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Seem.that4	Adj-that	correct	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Seem.that5	Adj-that	incorrect	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Seem.that6	Adj-that	sloppy	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Seem.that7	Adj-that	serendipitous	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Is.to1	Adj-to	prudent	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Is.to2	Adj-to	good	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Is.to3	Adj-to	questionable	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Is.to4	Adj-to	excellent	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Is.to5	Adj-to	ponderous	0	0
16	17.6	25	Female	Doctoral	Linguistics	English	5	5	5	No	Is.to6	Adj-to	relevant	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Seem.that1	Adj-that	evident	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Seem.that2	Adj-that	obvious	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Seem.that3	Adj-that	dubious	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Seem.that4	Adj-that	uncertain	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Seem.that5	Adj-that	possible	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Seem.that6	Adj-that	definite	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Seem.that7	Adj-that	probable	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Seem.that8	Adj-that	clear	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Is.to1	Adj-to	possible	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Is.to2	Adj-to	easy	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Is.to3	Adj-to	hard	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Is.to4	Adj-to	difficult	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Is.to5	Adj-to	challenging	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Is.to6	Adj-to	important	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Is.to7	Adj-to	unnecessary	0	0
17	10.767	26	Female	MS	Economics	English	3.33	3.33	3.17	Yes	Is.to8	Adj-to	crucial	0	0
18	11.217	25	Male	Doctoral	Anthropology	English	2.33	2.5	3.67	No	Is.that1	Adj-that	interesting	0	0
18	11.217	25	Male	Doctoral	Anthropology	English	2.33	2.5	3.67	No	Is.that2	Adj-that	understandable	0	0
18	11.217	25	Male	Doctoral	Anthropology	English	2.33	2.5	3.67	No	Is.that3	Adj-that	inconceivable	0	0
18	11.217	25	Male	Doctoral	Anthropology	English	2.33	2.5	3.67	No	Is.that4	Adj-that	logical	0	0
18	11.217	25	Male	Doctoral	Anthropology	English	2.33	2.5	3.67	No	Is.that5	Adj-that	illogical	0	0
